latitude,longitude,frp
-33.0616,150.5792,60.1
-33.0553,150.5547,162.0
-33.0538,150.566,121.9
-33.0524,150.5773,50.7
-33.046,150.553,73.3
-33.0448,150.4125,26.3
-33.0445,150.5644,43.0
-33.0434,150.4239,23.8
-33.0381,150.5401,28.5
-33.0367,150.5513,86.8
-33.0355,150.4108,65.6
-33.034,150.4222,21.6
-33.0317,150.5157,42.6
-33.0303,150.52700000000002,214.9
-33.0288,150.5383,78.5
-33.0282,150.4682,30.8
-33.0268,150.4795,238.4
-33.0261,150.4091,23.2
-33.0253,150.491,96.8
-33.0247,150.4205,36.8
-33.0238,150.5025,64.4
-33.0233,150.43200000000002,30.9
-33.0224,150.5138,85.3
-33.0218,150.4433,72.6
-33.021,150.525,11.7
-33.0205,150.4142,12.1
-33.0204,150.4548,21.5
-33.019,150.4256,24.8
-33.0189,150.4664,73.6
-33.0175,150.4369,34.6
-33.0175,150.4778,183.3
-33.0174,150.5495,18.4
-33.0163,150.4196,9.4
-33.0161,150.4483,54.0
-33.016,150.4892,41.4
-33.0146,150.4598,44.2
-33.0139,150.5319,25.4
-33.0131,150.4713,61.2
-33.0129,150.4375,20.1
-33.0116,150.4827,16.5
-33.0096,150.4549,18.3
-33.007,150.497,20.3
-32.6857,151.3439,28.3
-32.0816,152.4315,6.4
-32.0757,152.4086,20.5
-32.0742,152.4191,11.2
-32.0697,152.4251,26.6
-32.0667,152.4067,81.4
-32.0652,152.4173,22.9
-32.0625,115.9209,12.0
-32.0443,152.3695,111.0
-32.0412,152.3646,37.9
-32.0384,152.3465,29.7
-32.0372,152.3571,11.3
-32.0369,152.3571,59.1
-32.0354,152.3676,150.5
-32.0338,152.3782,15.4
-32.031,152.3341,14.2
-32.0294,152.3447,99.2
-32.0279,152.3552,24.4
-32.0241,152.3452,21.4
-32.0239,152.3271,37.4
-32.0224,152.3377,226.5
-32.0216,152.3312,32.9
-32.0208,152.3483,101.0
-32.0164,152.3148,24.1
-32.0164,152.338,47.0
-32.0149,152.3253,275.0
-32.0138,152.3239,55.3
-32.0134,152.3359,240.3
-32.0114,152.3227,68.6
-32.0111,152.3337,37.5
-32.0085,152.3194,47.7
-32.0059,152.3235,71.2
-32.0058,152.34,23.6
-32.0044,152.3341,25.2
-32.0032,152.3254,90.1
-32.0013,152.3552,16.6
-32.0007,152.3114,11.8
-31.9983,152.3204,67.1
-31.9969,152.3217,69.3
-31.9954,152.3323,213.5
-31.9939,152.3428,242.7
-31.9927,152.3275,24.7
-31.9923,152.3534,26.9
-31.9853,152.3171,68.4
-31.9828,152.4821,26.6
-31.9822,152.3298,23.1
-31.9813,152.4927,9.8
-31.9803,152.3727,36.9
-31.9801,152.3418,79.1
-31.9754,152.4697,36.7
-31.9744,152.347,43.3
-31.9738,152.4802,98.7
-31.9723,152.4908,105.2
-31.9722,152.3144,37.4
-31.9718,152.3324,70.3
-31.9708,152.5014,17.2
-31.9672,152.3379,106.2
-31.967,152.4845,9.0
-31.9633,152.489,11.6
-31.9613,152.3349,9.7
-31.958000000000002,152.3302,29.9
-31.941,122.9339,15.7
-31.9041,115.8179,9.6
-31.855,115.8928,6.9
-31.8241,152.2087,7.2
-31.8222,152.20600000000002,80.9
-31.8215,152.1947,23.5
-31.8188,152.1804,15.4
-31.8169,152.2314,22.5
-31.8161,152.2251,26.9
-31.8147,152.0536,25.3
-31.8146,152.1768,191.8
-31.8135,152.2108,133.8
-31.8123,152.0588,57.5
-31.8111,152.1291,42.2
-31.8108,152.1965,218.8
-31.8102,152.1342,6.1
-31.81,152.0767,44.2
-31.8093,152.0699,10.5
-31.8093,152.1469,64.6
-31.8092,152.2028,325.6
-31.8092,152.2171,94.9
-31.8083,152.1829,147.3
-31.8076,152.0811,47.1
-31.8076,152.12,41.4
-31.8067,152.0267,16.7
-31.8066,152.0549,18.6
-31.8065,152.2028,160.4
-31.8064,152.1514,162.1
-31.8055,152.168,68.0
-31.8048,152.16899999999998,278.8
-31.8046,152.0313,42.8
-31.804000000000002,152.1886,213.2
-31.804000000000002,152.2276,33.0
-31.8033,152.1013,23.9
-31.8029,152.2131,41.1
-31.8025,152.1521,104.4
-31.802,152.0499,97.3
-31.8017,152.0887,17.2
-31.8016,152.1743,591.3
-31.8014,152.1743,100.3
-31.8013,152.1196,77.5
-31.8002,152.1987,91.3
-31.7998,152.1379,44.5
-31.7997,152.1942,526.9
-31.7995,152.0551,109.9
-31.7988,152.07299999999998,31.6
-31.7985,152.1243,114.8
-31.7985,152.1587,129.7
-31.7975,152.1843,135.2
-31.7973,152.07299999999998,110.6
-31.7969,152.1222,79.3
-31.7965,152.1429,176.1
-31.7962,152.1996,509.8
-31.796,152.2052,105.8
-31.7959,152.1441,61.5
-31.7948,152.0775,113.1
-31.7947,152.1696,85.8
-31.7946,152.2191,55.7
-31.7943,152.1082,18.2
-31.7934,152.1483,183.2
-31.7933,152.1904,229.7
-31.7932,152.1292,46.3
-31.793000000000003,152.0938,47.3
-31.7927,115.8388,8.1
-31.7918,152.1543,51.0
-31.7916,152.1673,420.1
-31.7912,152.0916,29.9
-31.7906,152.1757,152.9
-31.7905,152.0982,62.7
-31.7905,152.1143,42.8
-31.7893,152.0462,57.3
-31.7892,152.1402,37.7
-31.7886,152.1156,85.7
-31.7883,152.1726,335.1
-31.7881,151.9789,122.2
-31.7881,152.0753,40.2
-31.788,152.2222,23.5
-31.7879,152.1607,56.5
-31.7877,152.0989,20.9
-31.7867,151.9894,262.0
-31.7866,152.1917,231.9
-31.7864,152.1253,39.4
-31.7858,152.1203,104.0
-31.7854,152.2075,123.8
-31.7852,151.9999,60.6
-31.7852,152.1462,42.3
-31.7845,152.0695,66.7
-31.7837,152.1394,72.9
-31.7836,152.0104,603.3
-31.7836,152.1102,35.3
-31.7833,152.1963,70.1
-31.7827,152.1322,56.3
-31.7827,152.1927,53.0
-31.7822,152.342,37.6
-31.7821,152.02100000000002,276.6
-31.7818,152.2154,23.1
-31.7814,152.019,33.9
-31.7808,152.1441,56.1
-31.7806,151.9666,34.3
-31.7806,152.3526,139.0
-31.7805,152.0943,26.7
-31.7801,152.0911,81.9
-31.78,152.178,72.4
-31.7799,152.1169,50.2
-31.7796,152.168,20.0
-31.7794,152.3448,13.3
-31.7791,151.9771,28.9
-31.7791,152.3631,49.5
-31.7788,152.1635,78.6
-31.7782,152.3485,8.7
-31.778000000000002,152.2435,9.9
-31.7777,151.9876,21.1
-31.7776,152.0526,22.2
-31.7773,152.1635,57.9
-31.776999999999997,152.1012,30.3
-31.7769,152.041,44.8
-31.7764,152.2541,34.5
-31.7762,151.9981,56.1
-31.7761,152.0631,235.8
-31.7758,152.1118,159.8
-31.7756,152.1682,77.9
-31.7749,152.2646,91.3
-31.7746,152.0087,552.4
-31.7746,152.0736,54.4
-31.774,152.1868,30.5
